City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
65,puerto natales,-51.7236,-72.4875,25.47,91.0,1009.0,79.0,2.06,CL,1718665899.0
66,albany,42.6001,-73.9662,87.8,61.0,1018.0,26.0,1.01,US,1718666101.0
67,yellowknife,62.456,-114.3525,60.42,45.0,1007.0,75.0,11.5,CA,1718666154.0
68,bata,1.8639,9.7658,77.9,88.0,1012.0,91.0,7.05,GQ,1718666272.0
69,port saint john's,-31.6229,29.5448,64.74,48.0,1013.0,17.0,6.04,ZA,1718666273.0
70,west island,-12.1568,96.8225,76.98,94.0,1012.0,75.0,11.5,CC,1718665954.0
71,longyearbyen,78.2186,15.6401,44.44,70.0,1024.0,0.0,11.5,SJ,1718665966.0
72,christchurch,-43.5333,172.6333,49.68,95.0,1021.0,100.0,3.44,NZ,1718666207.0
73,kingston,17.997,-76.7936,85.15,74.0,1010.0,20.0,16.11,JM,1718666090.0
74,yala,6.3333,101.25,76.6,95.0,1010.0,100.0,2.57,TH,1718666278.0
75,kamina,-8.7386,24.9906,61.16,42.0,1015.0,0.0,1.61,CD,1718666279.0
76,vilyuysk,63.7553,121.6247,43.86,82.0,1010.0,100.0,6.13,RU,1718666281.0
77,north bay,46.3168,-79.4663,82.42,65.0,1014.0,75.0,10.36,CA,1718666073.0
78,anloga,5.7947,0.8973,80.17,81.0,1013.0,58.0,9.24,GH,1718666283.0
79,ponta delgada,37.7333,-25.6667,65.19,77.0,1023.0,75.0,13.8,PT,1718666284.0
80,la passe,45.5549,-0.8967,68.23,94.0,1009.0,100.0,8.52,FR,1718666285.0
81,jamestown,42.097,-79.2353,85.59,76.0,1018.0,0.0,8.05,US,1718665995.0
82,big bend,-26.8167,31.9333,50.09,93.0,1019.0,0.0,0.0,SZ,1718666287.0
83,homer,59.6425,-151.5483,60.04,78.0,1019.0,0.0,19.57,US,1718666289.0
84,aykhal,66.0,111.5,46.94,53.0,1012.0,76.0,5.7,RU,1718666290.0
85,susuman,62.7833,148.1667,57.16,50.0,1013.0,100.0,9.15,RU,1718666291.0
86,aghajari,30.7006,49.8315,84.42,30.0,1000.0,0.0,6.91,IR,1718666292.0
87,hasaki,35.7333,140.8333,66.6,97.0,1007.0,100.0,6.73,JP,1718666293.0
88,dudinka,69.4058,86.1778,41.16,73.0,1007.0,100.0,1.95,RU,1718666295.0
89,neiafu,-18.65,-173.9833,83.08,78.0,1015.0,40.0,12.66,TO,1718666296.0
90,ilulissat,69.2167,-51.1,55.42,54.0,1000.0,75.0,18.41,GL,1718665962.0
91,nar'yan-mar,67.6713,53.087,37.69,69.0,1025.0,6.0,4.74,RU,1718666298.0
92,oodweyne,9.4092,45.064,75.76,46.0,1010.0,93.0,17.34,SO,1718666299.0
93,talnakh,69.4865,88.3972,40.98,74.0,1007.0,100.0,3.36,RU,1718665927.0
94,lincoln city,44.9582,-124.0179,63.28,83.0,1019.0,28.0,4.0,US,1718666301.0
95,hayma',,,,,,,,,
96,estes park,40.3772,-105.5217,82.36,32.0,986.0,9.0,8.01,US,1718666004.0
97,pisco,-13.7,-76.2167,68.05,73.0,1012.0,0.0,11.5,PE,1718666305.0
98,emerald,-23.5333,148.1667,52.34,44.0,1021.0,0.0,2.1,AU,1718666306.0
99,ishurdi,24.1333,89.0833,86.32,78.0,999.0,100.0,16.13,BD,1718666307.0
100,bonthe,7.5264,-12.505,77.77,88.0,1012.0,100.0,7.65,SL,1718666308.0
101,tolanaro,-25.0319,46.9987,66.27,82.0,1021.0,20.0,4.61,MG,1718666309.0
102,enewetak,11.3474,162.3373,82.89,79.0,1012.0,63.0,16.24,MH,1718666310.0
103,mar del plata,-38.0023,-57.5575,57.09,78.0,1011.0,0.0,5.75,AR,1718666118.0
104,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,66.0,1020.0,75.0,4.47,RU,1718666312.0
105,tadine,-21.55,167.8833,76.15,62.0,1014.0,0.0,10.58,NC,1718666313.0
106,avarua,-21.2078,-159.775,77.05,69.0,1017.0,40.0,10.36,CK,1718666315.0
107,egilsstadir,65.2653,-14.3948,39.11,81.0,1019.0,20.0,1.14,IS,1718666316.0
108,puerto ayora,-0.7393,-90.3518,72.55,95.0,1010.0,55.0,1.99,EC,1718666317.0
109,afaahiti,-17.75,-149.2833,80.47,82.0,1014.0,25.0,12.73,PF,1718666318.0
110,malango,-2.9627,119.9001,66.88,95.0,1014.0,15.0,1.3,ID,1718666319.0
111,bardai,11.65,7.2333,82.35,52.0,1012.0,9.0,2.28,NG,1718666320.0
112,dunda,-8.1167,34.25,55.51,70.0,1019.0,0.0,3.76,TZ,1718666321.0
113,puerto san carlos,,,,,,,,,
114,roma,43.2128,-75.4557,85.93,59.0,1022.0,0.0,1.01,US,1718666324.0
115,angaur state,6.906,134.13,82.92,72.0,1009.0,100.0,0.49,PW,1718666325.0
116,luanda,-8.8368,13.2343,69.19,93.0,1014.0,71.0,8.39,AO,1718666326.0
